Class Number,Class Name,AP
0,person,74.92844717877283
1,bicycle,48.01977513313648
2,car,65.28365172508937
3,motorcycle,68.4246714842818
4,airplane,82.75348656905447
5,bus,81.76881822551265
6,train,82.02052350163241
7,truck,43.79657203698882
8,boat,46.00794197153687
9,traffic light,52.00800392597466
10,fire hydrant,83.8142125090727
11,stop sign,78.61761898047133
12,parking meter,53.49676617293593
13,bench,35.44832827874574
14,bird,46.98835710839303
15,cat,78.42789127343374
16,dog,77.21890449158771
17,horse,78.54165493013305
18,sheep,61.62942185207952
19,cow,53.496121322211664
20,elephant,85.01866755355228
21,bear,80.13365443725053
22,zebra,83.00151676906478
23,giraffe,87.81625613388539
24,backpack,33.77043146772528
25,umbrella,60.054535980719194
26,handbag,23.404213951995374
27,tie,54.5447778890854
28,suitcase,57.39095328982386
29,frisbee,75.7119369323253
30,skis,46.026170190031955
31,snowboard,56.41932849990167
32,sports ball,61.294106903245215
33,kite,50.99283380972639
34,baseball bat,52.820642334360635
35,baseball glove,53.67073689278903
36,skateboard,73.60204000940817
37,surfboard,68.26367756577096
38,tennis racket,73.31497144002901
39,bottle,45.80495090300546
40,wine glass,51.36270567031852
41,cup,50.822532969921184
42,fork,46.42345446333211
43,knife,27.903911421249678
44,spoon,22.725029098713353
45,bowl,53.208172494622744
46,banana,34.27531440572225
47,apple,22.680027672432466
48,sandwich,43.64412280018312
49,orange,29.253186081206685
50,broccoli,37.6300458137341
51,carrot,22.185691461534606
52,hot dog,37.96696823904397
53,pizza,59.77216002448073
54,donut,45.976921388464994
55,cake,50.455758892128024
56,chair,43.60194502437064
57,couch,57.98883426751152
58,potted plant,46.45593660017067
59,bed,67.01260771484019
60,dining table,41.91816813250945
61,toilet,83.0693243140581
62,tv,74.96945297604343
63,laptop,72.55706399653077
64,mouse,74.71963330322305
65,remote,48.60067417961166
66,keyboard,69.85563681539621
67,cell phone,42.12436733158444
68,microwave,80.41295201874864
69,oven,50.33500958770475
70,toaster,17.032163742690056
71,sink,58.09713537765059
72,refrigerator,72.92423208071662
73,book,18.733942969806854
74,clock,75.11715398631411
75,vase,54.00069624227518
76,scissors,38.21356309667209
77,teddy bear,62.1964834154974
78,hair drier,12.727272727272728
79,toothbrush,35.75357922288923
mAP,55.63064254557397, 
Inference_time (ms),36.37638545036316, 
FPS,27.49036188228582, 
